"year","stage","value","lower","upper"
2010,"iproffset",2150.2238046130024,1942.211350368901,2367.262933058388
2011,"iproffset",2262.295293014566,2033.769917108296,2502.870886137675
2012,"iproffset",2369.042066620902,2117.3122345172997,2631.5944489398557
2013,"iproffset",2484.871790116499,2210.2904106816545,2775.0625750157183
2014,"iproffset",2609.7130861945443,2315.581866159416,2924.3216876435135
2015,"iproffset",2750.808047744607,2434.2243691977083,3091.1709976422917
2016,"iproffset",2887.6382288990467,2550.8405096330034,3251.362840041635
2017,"iproffset",3009.0136374341214,2660.0550643621464,3381.4399415766316
2018,"iproffset",3154.7147180027782,2796.2021825749102,3528.337816671461
2019,"iproffset",3296.4717606469053,2938.409698651412,3653.2869862784983
2020,"iproffset",3472.760657296546,3123.5503857324156,3807.4933513750752
2021,"iproffset",3633.9191137203225,3286.6074780449876,3964.380586092601
2022,"iproffset",3748.1575801932063,3399.699773276029,4076.991056949166
2023,"iproffset",3908.74818970717,3571.4811783460336,4205.949640226243
2004,"imroffset",7.101700262577717,4.752668555051274,10.475554801510444
2005,"imroffset",10.648905098197512,7.69324478993702,14.601442037762355
2006,"imroffset",12.02211960477052,8.860180313245134,16.155832665042333
2007,"imroffset",12.169987410545332,8.853980722775093,16.537048944424097
2008,"imroffset",11.13584992329202,7.828644811984142,15.61475104651358
2009,"imroffset",8.91516032639673,5.891786065305563,13.218512654035305
2010,"imroffset",13.753982267862058,10.111825065299282,18.44116791483331
2011,"imroffset",12.574133631166111,9.03725295190423,17.207390597194458
2012,"imroffset",9.527771766815466,6.373135050931474,13.926867982556413
2013,"imroffset",12.621258883092448,8.945147971070547,17.477330357484405
2014,"imroffset",18.489256925585128,14.021944337287762,24.01315729819195
2015,"imroffset",8.779097175728744,5.337037902007853,13.970587900161243
2016,"imroffset",14.503532296832706,10.114074861500754,20.36490603520062
2017,"imroffset",20.75934749978687,15.571617421207442,27.217887406049876
2018,"imroffset",17.484233318801785,12.278014961320748,24.381460703755476
2019,"imroffset",17.650624981663302,11.961350009856329,25.43514190797537
2020,"imroffset",16.102118565972333,10.038295941521408,25.04652158665156
2021,"imroffset",28.23026246179783,19.24227026147154,40.44811116411896
2022,"imroffset",25.381782521012017,15.54532089572875,40.07014843760928
2023,"imroffset",31.16127637149186,19.19702279226928,48.889660413359216
