"year","stage","value","lower","upper"
2013,"ipr",0.04433213893748457,0.03857137013106963,0.05163453201995189
2014,"ipr",0.041660636428504066,0.03616395584537258,0.04873376815899057
2015,"ipr",0.038832040395305266,0.03372656430596748,0.04558686113798034
2016,"ipr",0.03575088897310867,0.030977263307201238,0.04204991027331692
2017,"ipr",0.032650796516124556,0.027788875105410393,0.03886367267283287
2018,"ipr",0.029572691173955206,0.024585772479139574,0.0358654855415909
2019,"ipr",0.026468055700865304,0.021345539565013116,0.0328448297234458
2020,"ipr",0.02314197329979166,0.01791653371372728,0.029848963778942566
2021,"ipr",0.019826261720299273,0.014379401625445798,0.026968201354897855
2022,"ipr",0.01653357591104978,0.010684112960326593,0.02431056274831269
2023,"ipr",0.01302622287247726,0.006759341720763695,0.021184096192542908
2004,"imr",7.930131760309213,5.265381678977842,12.098542940541009
2005,"imr",5.674805952203886,4.071323811648133,7.977490665825861
2006,"imr",5.23334120558995,3.8387170233853616,7.2069261366765875
2007,"imr",5.496409625104558,3.999661524475196,7.6487568531754535
2008,"imr",6.286048127786619,4.438948821562287,9.054898369295111
2009,"imr",8.229419350590069,5.496595096182636,12.64974209210496
2010,"imr",5.477113582176645,4.025562128939867,7.5935861102897935
2011,"imr",6.107988735048705,4.381362624678342,8.680183620031515
2012,"imr",8.107651676737063,5.45449672059638,12.40661447516399
2013,"imr",6.1013998671479595,4.332985871898819,8.815780565311378
2014,"imr",4.157620666755529,3.158612722068946,5.602576224169681
2015,"imr",8.702845058852475,5.4239009839526116,14.610097595364804
2016,"imr",5.143021555985931,3.636497020039261,7.518380124430214
2017,"imr",3.455533911514324,2.5915279706841643,4.715406074704795
2018,"imr",3.934709893882989,2.746417798488478,5.767807253894217
2019,"imr",3.692503979498835,2.4589302440296064,5.647110542868821
2020,"imr",3.76372424854344,2.2710520183858383,6.384523948227385
2021,"imr",1.9448031792236502,1.2087398176500461,3.1389421802062576
2022,"imr",1.882470798060263,0.963144757106274,3.5820728168788123
2023,"imr",1.276237260434825,0.5426222486608616,2.628415407239981
2004,"diagnoses_indicators",866.340654407988,866.340654407988,866.340654407988
2005,"diagnoses_indicators",927.7631519731622,927.7631519731622,927.7631519731622
2006,"diagnoses_indicators",995.9618570850034,995.9618570850034,995.9618570850034
2007,"diagnoses_indicators",944.4098934638714,944.4098934638714,944.4098934638714
2008,"diagnoses_indicators",825.4528061070232,825.4528061070232,825.4528061070232
2009,"diagnoses_indicators",965.3783046351127,965.3783046351127,965.3783046351127
2010,"diagnoses_indicators",916.3607619434152,916.3607619434152,916.3607619434152
2011,"diagnoses_indicators",976.6067628623059,976.6067628623059,976.6067628623059
2012,"diagnoses_indicators",1106.4652201515892,1106.4652201515892,1106.4652201515892
2013,"diagnoses_indicators",963.740328103424,963.740328103424,963.740328103424
2014,"diagnoses_indicators",1159.7359847853586,1159.7359847853586,1159.7359847853586
2015,"diagnoses_indicators",1143.0385893546918,1143.0385893546918,1143.0385893546918
2016,"diagnoses_indicators",1133.9516330558108,1133.9516330558108,1133.9516330558108
2017,"diagnoses_indicators",1082,1082,1082
2018,"diagnoses_indicators",939,939,939
2019,"diagnoses_indicators",989,989,989
2020,"diagnoses_indicators",683,683,683
2021,"diagnoses_indicators",579,579,579
2022,"diagnoses_indicators",591,591,591
2023,"diagnoses_indicators",784,784,784
2004,"ydfoffest",3518.297366653367,3382.006277775914,3667.1468491411742
2005,"ydfoffest",3624.2252859241516,3488.8600752081884,3767.684716874892
2006,"ydfoffest",3737.3786989059113,3601.2686502507445,3864.1303704592606
2007,"ydfoffest",3705.912551181667,3575.6285136812635,3819.573549023991
2008,"ydfoffest",3571.6083631481424,3449.7900937648033,3672.2964579127433
2009,"ydfoffest",3705.8377934565747,3585.643905954125,3808.0352977024895
2010,"ydfoffest",3631.2365508318817,3508.792139489328,3734.2807742241403
2011,"ydfoffest",3661.08817459571,3519.5312620304353,3765.129622241803
2012,"ydfoffest",3769.903156404787,3631.8515350600665,3884.494483646284
2013,"ydfoffest",3596.381315105832,3433.2637326913464,3723.952084622856
2014,"ydfoffest",3780.1720635418155,3620.3015623728907,3900.2672075898877
2015,"ydfoffest",3763.381667236588,3612.408797234288,3884.5043571621013
2016,"ydfoffest",3765.263660897913,3627.874445143884,3885.1954913231025
2017,"ydfoffest",3719.28786949732,3594.5698067812227,3842.4935575624954
2018,"ydfoffest",3568.3325117045606,3452.274442105436,3702.2798445277576
2019,"ydfoffest",3611.862090758431,3503.9169035886152,3764.395001910401
2020,"ydfoffest",3322.7382903755174,3169.584435270873,3526.083799016479
2021,"ydfoffest",3295.651161567503,3063.127347130238,3566.2747770612
2022,"ydfoffest",3251.463239170798,2909.7940091361543,3612.3097360605825
2023,"ydfoffest",3144.751889318646,2679.5011276790965,3617.5094238761367
2004,"iproffset",14832.826632502329,13787.517097480344,15972.318540406335
2005,"iproffset",15584.49433438034,14408.0804000278,16837.59288676126
2006,"iproffset",16300.323301525488,14988.388281211455,17681.2792786012
2007,"iproffset",17090.13407082189,15632.054556633497,18599.56106664981
2008,"iproffset",17857.42299418614,16251.964942477787,19509.09727045849
2009,"iproffset",18471.63495402243,16719.166560667498,20269.378134668845
2010,"iproffset",19301.069138543025,17391.440337414224,21264.16389947948
2011,"iproffset",20069.37849314972,17987.321515862204,22215.527522649536
2012,"iproffset",20909.321898060476,18636.521069202685,23241.553753142416
2013,"iproffset",21855.727565194185,19413.429439288135,24385.13357974709
2014,"iproffset",22682.32336348711,20033.24936448383,25423.911502691622
2015,"iproffset",23539.75999444296,20710.965164771795,26475.880967276757
2016,"iproffset",24503.88947415943,21497.991152043734,27641.226809114185
2017,"iproffset",25435.54545721,22240.53977801773,28797.073323928704
2018,"iproffset",26280.18855059299,22894.44700386948,29875.019815757492
2019,"iproffset",27044.113518946488,23471.384400257513,30867.44342972504
2020,"iproffset",27918.641536321215,24152.282348527795,31983.04388314576
2021,"iproffset",28636.36115620842,24688.57044776844,32885.81578827273
2022,"iproffset",29061.936545673223,24867.829603901693,33551.89507365918
2023,"iproffset",29482.35392252003,25345,34311.158775650234
2004,"imroffset",114.55997018195528,76.81693841708524,168.39584726403484
2005,"imroffset",165.23143890688434,119.79222264637627,225.3068592519209
2006,"imroffset",183.74728060399767,136.00418714045514,245.26131888974243
2007,"imroffset",178.3301376453277,130.59046563695068,240.09620292207188
2008,"imroffset",157.9972632741691,111.98798480594532,219.04234157351533
2009,"imroffset",121.57032730726804,81.14747466991145,177.94158454190446
