"year","indicator","value"
2017,"diagnoses_indicators","980 (980‒980)"
2018,"diagnoses_indicators","870 (870‒870)"
2019,"diagnoses_indicators","890 (890‒890)"
2020,"diagnoses_indicators","600 (600‒600)"
2021,"diagnoses_indicators","520 (520‒520)"
2022,"diagnoses_indicators","500 (500‒500)"
2023,"diagnoses_indicators","690 (690‒690)"
2004,"ydfoffest","3,070 (2,940‒3,230)"
2005,"ydfoffest","3,210 (3,100‒3,370)"
2006,"ydfoffest","3,250 (3,140‒3,410)"
2007,"ydfoffest","3,260 (3,160‒3,400)"
2008,"ydfoffest","3,130 (3,020‒3,250)"
2009,"ydfoffest","3,240 (3,110‒3,340)"
2010,"ydfoffest","3,220 (3,090‒3,320)"
2011,"ydfoffest","3,220 (3,090‒3,310)"
2012,"ydfoffest","3,300 (3,150‒3,410)"
2013,"ydfoffest","3,170 (3,010‒3,300)"
2014,"ydfoffest","3,370 (3,210‒3,500)"
2015,"ydfoffest","3,350 (3,200‒3,460)"
2016,"ydfoffest","3,370 (3,240‒3,470)"
2017,"ydfoffest","3,320 (3,180‒3,440)"
2018,"ydfoffest","3,200 (3,070‒3,330)"
2019,"ydfoffest","3,220 (3,080‒3,360)"
2020,"ydfoffest","2,960 (2,780‒3,130)"
2021,"ydfoffest","2,950 (2,720‒3,200)"
2022,"ydfoffest","2,910 (2,600‒3,300)"
2023,"ydfoffest","2,850 (2,380‒3,390)"
2004,"iproffset","13,500 (12,560‒14,510)"
2005,"iproffset","14,140 (13,110‒15,240)"
2006,"iproffset","14,820 (13,680‒16,030)"
2007,"iproffset","15,490 (14,240‒16,810)"
2008,"iproffset","16,160 (14,790‒17,600)"
2009,"iproffset","16,680 (15,180‒18,230)"
2010,"iproffset","17,400 (15,750‒19,050)"
2011,"iproffset","18,090 (16,290‒19,880)"
2012,"iproffset","18,800 (16,860‒20,730)"
2013,"iproffset","19,600 (17,510‒21,700)"
2014,"iproffset","20,290 (18,040‒22,560)"
2015,"iproffset","21,020 (18,620‒23,450)"
2016,"iproffset","21,870 (19,330‒24,430)"
2017,"iproffset","22,630 (19,920‒25,400)"
2018,"iproffset","23,290 (20,350‒26,330)"
2019,"iproffset","23,860 (20,690‒27,180)"
2020,"iproffset","24,480 (21,030‒28,130)"
2021,"iproffset","24,980 (21,320‒28,870)"
2022,"iproffset","25,230 (21,410‒29,450)"
2023,"iproffset","25,390 (22,070‒30,130)"
2004,"imroffset","110 (70‒160)"
2005,"imroffset","150 (110‒210)"
2006,"imroffset","170 (130‒230)"
2007,"imroffset","170 (120‒230)"
2008,"imroffset","150 (100‒210)"
2009,"imroffset","110 (80‒170)"
2010,"imroffset","170 (130‒230)"
2011,"imroffset","150 (110‒210)"
2012,"imroffset","110 (80‒160)"
2013,"imroffset","150 (100‒200)"
2014,"imroffset","210 (160‒270)"
2015,"imroffset","100 (60‒150)"
2016,"imroffset","160 (110‒220)"
2017,"imroffset","220 (170‒280)"
2018,"imroffset","180 (130‒240)"
2019,"imroffset","180 (120‒240)"
2020,"imroffset","150 (100‒230)"
2021,"imroffset","260 (190‒350)"
2022,"imroffset","230 (150‒330)"
2023,"imroffset","260 (180‒370)"
