"year","stage","value","lower","upper"
2023,"iproffset",25387.155496730407,22070.3333333333,30131.458526864317
2004,"imroffset",107.86762565689988,71.99943975214383,159.23408362434768
2005,"imroffset",154.59913404347748,111.52488930447272,211.77883440172104
2006,"imroffset",172.33254555320693,126.81215975803184,231.26946383428043
2007,"imroffset",166.77018183288138,121.36360715816625,225.82370262085192
2008,"imroffset",147.34109701149612,103.72270010854557,205.54448728828623
2009,"imroffset",113.19594041075064,75.00083385872301,166.80379512549354
2010,"imroffset",170.03690694854456,125.31369679040534,226.6299121864652
2011,"imroffset",151.602923519733,109.17667575455948,206.32169164042395
2012,"imroffset",112.60088636660042,75.44069564428455,163.7563904762356
2013,"imroffset",146.58645899667746,103.9710529982993,202.05940540027905
2014,"imroffset",209.1309865299891,158.7535283601985,270.17862198975513
2015,"imroffset",96.4282617091102,58.719867652176085,152.49951918569374
2016,"imroffset",156.1827567188513,109.0511518435769,217.94304604892187
2017,"imroffset",219.46360765564833,165.79857852222963,284.20311089836645
2018,"imroffset",179.4838350904208,128.53750493320203,244.1605005001341
2019,"imroffset",175.66020899089008,123.44330895325494,242.8754479095887
2020,"imroffset",154.4028234585829,101.92679335286812,225.7081351051091
2021,"imroffset",260.90470652246614,190.9679979906872,346.3967731635086
2022,"imroffset",226.6463128592799,151.6638156657783,325.906975211754
2023,"imroffset",264.5203280339768,183.09229044557677,367.7135426822251
